Id,WnvPresent
1,0.47
2,0.3
3,0.47
4,0.49
5,0.45
6,0.52
7,0.52
8,0.52
1209,0.07
1210,0.07
1211,0.07
1212,0.07
1213,0.07
1214,0.07
1215,0.07
1216,0.07
2417,0.42
2418,0.29
2419,0.39
2420,0.44
2421,0.43
2422,0.44
2423,0.45
2424,0.45
3634,0.34
3635,0.26
3636,0.39
3637,0.38
3638,0.37
3639,0.39
3640,0.39
3641,0.39
4845,0.19
4846,0.15
4847,0.15
4848,0.18
4849,0.16
4850,0.18
4851,0.18
4852,0.18
6054,0.45
6055,0.23
6056,0.44
6057,0.47
6058,0.38
6059,0.52
6060,0.52
6061,0.52
7263,0.33
7264,0.21
7265,0.28
7266,0.33
7267,0.29
7268,0.33
7269,0.33
7270,0.33
8480,0.5
8481,0.14
8482,0.45
8483,0.48
8484,0.38
8485,0.52
8486,0.52
8487,0.52
9688,0.18
9689,0.18
9690,0.18
9691,0.15
9692,0.15
9693,0.23
9694,0.26
9695,0.23
9696,0.27
9697,0.27
9698,0.27
10903,0.35
10904,0.38
10905,0.4
10906,0.47
10907,0.41
10908,0.47
10909,0.47
10910,0.47
12137,0.3
12138,0.21
12139,0.3
12140,0.35
12141,0.3
12142,0.36
12143,0.36
12144,0.36
13347,0.38
13348,0.11
13349,0.39
13350,0.42
13351,0.32
13352,0.43
13353,0.43
13354,0.43
14569,0.42
14570,0.22
14571,0.41
14572,0.42
14573,0.39
14574,0.45
14575,0.45
14576,0.45
15782,0.54
15783,0.14
15784,0.44
15785,0.5
15786,0.41
15787,0.54
15788,0.54
15789,0.54
17000,0.55
17001,0.44
17002,0.55
17003,0.63
17004,0.59
17005,0.63
17006,0.64
17007,0.64
18214,0.5
18215,0.26
18216,0.44
18217,0.48
18218,0.4
18219,0.5
18220,0.51
18221,0.51
19447,0.55
19448,0.55
19449,0.55
19450,0.55
19451,0.55
19452,0.55
19453,0.55
19454,0.27
19455,0.5
19456,0.59
19457,0.49
19458,0.62
19459,0.62
19460,0.62
20694,0.17
20695,0.17
20696,0.17
20697,0.17
20698,0.14
20699,0.19
20700,0.23
20701,0.2
20702,0.23
20703,0.23
20704,0.23
21915,0.1
21916,0.11
21917,0.16
21918,0.16
21919,0.15
21920,0.16
21921,0.16
21922,0.16
23147,0.48
23148,0.48
23149,0.48
23150,0.48
23151,0.48
23152,0.48
23153,0.48
23154,0.48
23155,0.29
23156,0.46
23157,0.53
23158,0.46
23159,0.56
23160,0.56
23161,0.56
24394,0.6
24395,0.19
24396,0.61
24397,0.6
24398,0.49
24399,0.64
24400,0.64
24401,0.64
25607,0.62
25608,0.62
25609,0.62
25610,0.62
25611,0.62
25612,0.62
25613,0.62
25614,0.62
25615,0.62
25616,0.62
25617,0.39
25618,0.56
25619,0.58
25620,0.58
25621,0.59
25622,0.59
25623,0.59
26855,0.12
26856,0.09
26857,0.1
26858,0.11
26859,0.11
26860,0.11
26861,0.11
26862,0.11
28072,0.31
28073,0.25
28074,0.3
28075,0.4
28076,0.38
28077,0.4
28078,0.4
28079,0.4
29283,0.29
29284,0.27
29285,0.25
29286,0.32
29287,0.32
29288,0.32
29289,0.32
29290,0.32
30499,0.18
30500,0.09
30501,0.14
30502,0.16
30503,0.15
30504,0.16
30505,0.16
30506,0.16
31711,0.42
31712,0.29
31713,0.39
31714,0.43
31715,0.39
31716,0.43
31717,0.43
31718,0.43
32922,0.47
32923,0.18
32924,0.43
32925,0.49
32926,0.4
32927,0.52
32928,0.52
32929,0.52
34131,0.51
34132,0.24
34133,0.5
34134,0.55
34135,0.52
34136,0.58
34137,0.58
34138,0.58
35347,0.22
35348,0.07
35349,0.26
35350,0.27
35351,0.24
35352,0.31
35353,0.31
35354,0.31
36574,0.38
36575,0.26
36576,0.35
36577,0.47
36578,0.45
36579,0.47
36580,0.47
36581,0.47
37782,0.31
37783,0.28
37784,0.32
37785,0.4
37786,0.39
37787,0.4
37788,0.4
37789,0.4
39003,0.27
39004,0.14
39005,0.28
39006,0.3
39007,0.26
39008,0.33
39009,0.33
39010,0.33
40224,0.36
40225,0.36
40226,0.36
40227,0.36
40228,0.36
40229,0.36
40230,0.36
40231,0.36
40232,0.36
40233,0.36
40234,0.14
40235,0.14
40236,0.14
40237,0.14
40238,0.14
40239,0.3
40240,0.37
40241,0.31
40242,0.39
40243,0.39
40244,0.39
41481,0.52
41482,0.16
41483,0.56
41484,0.58
41485,0.43
41486,0.62
41487,0.62
41488,0.62
42698,0.42
42699,0.14
42700,0.5
42701,0.53
42702,0.43
42703,0.58
42704,0.58
42705,0.58
43939,0.46
43940,0.46
43941,0.46
43942,0.46
43943,0.46
43944,0.46
43945,0.46
43946,0.46
43947,0.2
43948,0.2
43949,0.46
43950,0.5
43951,0.47
43952,0.55
43953,0.55
43954,0.55
45161,0.58
45162,0.33
45163,0.69
45164,0.68
45165,0.58
45166,0.7
45167,0.7
45168,0.7
46390,0.49
46391,0.11
46392,0.54
46393,0.56
46394,0.46
46395,0.61
46396,0.61
46397,0.61
47601,0.54
47602,0.2
47603,0.53
47604,0.58
47605,0.45
47606,0.59
47607,0.59
47608,0.59
48826,0.47
48827,0.18
48828,0.47
48829,0.5
48830,0.42
48831,0.54
48832,0.54
48833,0.54
50035,0.37
50036,0.13
50037,0.36
50038,0.38
50039,0.3
50040,0.39
50041,0.39
50042,0.39
51259,0.54
51260,0.34
51261,0.56
51262,0.62
51263,0.57
51264,0.64
51265,0.64
51266,0.64
52483,0.58
52484,0.23
52485,0.51
52486,0.57
52487,0.48
52488,0.6
52489,0.6
52490,0.6
53692,0.45
53693,0.14
53694,0.4
53695,0.39
53696,0.36
53697,0.43
53698,0.43
53699,0.43
54917,0.32
54918,0.34
54919,0.37
54920,0.37
54921,0.35
54922,0.37
54923,0.37
54924,0.37
56127,0.47
56128,0.25
56129,0.44
56130,0.55
56131,0.46
56132,0.55
56133,0.56
56134,0.56
57346,0.43
57347,0.11
57348,0.42
57349,0.49
57350,0.34
57351,0.53
57352,0.53
57353,0.53
58563,0.39
58564,0.23
58565,0.36
58566,0.38
58567,0.38
58568,0.38
58569,0.38
58570,0.38
59773,0.26
59774,0.18
59775,0.29
59776,0.33
59777,0.33
59778,0.33
59779,0.33
59780,0.33
60996,0.23
60997,0.15
60998,0.18
60999,0.23
61000,0.23
61001,0.23
61002,0.23
61003,0.23
62204,0.39
62205,0.28
62206,0.4
62207,0.41
62208,0.41
62209,0.41
62210,0.41
62211,0.41
63419,0.62
63420,0.33
63421,0.55
63422,0.63
63423,0.55
63424,0.64
63425,0.64
63426,0.64
64627,0.24
64628,0.1
64629,0.24
64630,0.24
64631,0.21
64632,0.24
64633,0.24
64634,0.24
65841,0.22
65842,0.15
65843,0.2
65844,0.23
65845,0.23
65846,0.23
65847,0.23
65848,0.23
67056,0.28
67057,0.23
67058,0.26
67059,0.3
67060,0.3
67061,0.3
67062,0.31
67063,0.31
68269,0.13
68270,0.11
68271,0.12
68272,0.15
68273,0.14
68274,0.15
68275,0.15
68276,0.15
69483,0.3
69484,0.14
69485,0.43
69486,0.44
69487,0.39
69488,0.48
69489,0.48
69490,0.48
70699,0.25
70700,0.19
70701,0.31
70702,0.3
70703,0.27
70704,0.31
70705,0.31
70706,0.31
71930,0.35
71931,0.35
71932,0.17
71933,0.35
71934,0.43
71935,0.4
71936,0.44
71937,0.44
71938,0.44
73223,0.48
73224,0.48
73225,0.48
73226,0.48
73227,0.18
73228,0.44
73229,0.51
73230,0.43
73231,0.53
73232,0.53
73233,0.53
74479,0.33
74480,0.09
74481,0.35
74482,0.43
74483,0.33
74484,0.46
74485,0.46
74486,0.46
75739,0.52
75740,0.15
75741,0.53
75742,0.59
75743,0.44
75744,0.64
75745,0.64
75746,0.64
76984,0.26
76985,0.11
76986,0.28
76987,0.32
76988,0.29
76989,0.35
76990,0.35
76991,0.35
78266,0.4
78267,0.16
78268,0.39
78269,0.44
78270,0.38
78271,0.48
78272,0.48
78273,0.48
79548,0.43
79549,0.17
79550,0.38
79551,0.42
79552,0.38
79553,0.42
79554,0.42
79555,0.42
80761,0.21
80762,0.17
80763,0.18
80764,0.19
80765,0.17
80766,0.19
80767,0.19
80768,0.19
81992,0.28
81993,0.14
81994,0.25
81995,0.28
81996,0.26
81997,0.28
81998,0.28
81999,0.28
83208,0.09
83209,0.09
83210,0.1
